0,0 152,098233 0,0 0,0 29,
0,01 152,09765916705183 0,29299889457589023 -0,05738329481769627 29,2998894575890
0,02 152,09651150207827 0,5859955782987751 -0,11476649735501197 29,29966837228848
0,03 152,09479000806064 0,8789889457385285 -0,17214940176343255 29,29933674397533
0,04 152,09249469003868 1,1719778914673484 -0,22953180219590877 29,2988945728819
0,05 152,08962555511062 1,464961310063312 -0,2869134928073607 29,29834185959635
0,060000000000000005 152,08618261243305 1,7579380961139297 -0,3442942677551828 29,29767860506177
0,07 152,08216587322104 2,0509071442196998 -0,4016739211997484 29,2969048105770
0,08 152,077575350748 2,3438673489976627 -0,45905224730491484 29,2960204777962
0,09 152,07241106034562 2,636817605084954 -0,516429040238528 29,2950256087291
0,09999999999999999 152,06667301940388 2,929756807142359 -0,5738040941729265 29,29392020574051
0,10999999999999999 152,06036124737102 3,2226838498578663 -0,6311772032854468 29,2927042715507
0,11999999999999998 152,05347576575343 3,51559762795022 -0,6885481617589266 29,2913778092353
0,12999999999999998 152,0460165981156 3,8084970361724735 -0,7459167637822097 29,2899408222253
0,13999999999999999 152,0379837700801 4,101380969315542 -0,8032828035506496 29,28839331430688
0,15 152,02937730932743 4,394248322211757 -0,8606460752666136 29,28673528962142
0,16 152,02019724559602 4,6870979897384135 -0,9180063731399868 29,28496675266564
0,17 152,01044361068213 4,979928866821328 -0,9753634913886753 29,28308770829145
0,18000000000000002 152,00011643843973 5,272739848438388 -1,0327172242391105 29,2810981617059
0,19000000000000003 151,98921576478045 5,5655298296231015 -1,0900673659267524 29,2789981184713
0,20000000000000004 151,97774162767348 5,858297705468153 -1,1474137106965925 29,2767875845051
0,21000000000000005 151,96569406714545 6,15104237112895 -1,2047560528036578 29,27446656607970
0,22000000000000006 151,95307312528033 6,443762721827177 -1,2620941865135138 29,2720350698227
0,23000000000000007 151,9398788462193 6,736457652854346 -1,3194279061027674 29,2694931027168
0,24000000000000007 151,9261112761607 7,029126059575345 -1,3767570058595704 29,26684067209987
0,25000000000000006 151,91177046335986 7,32176683743199 -1,434081280084122 29,26407778566443
0,26000000000000006 151,89685645812898 7,614378881946573 -1,491400523089172 29,26120445145829
0,2700000000000001 151,88136931283697 7,9069610887254145 -1,5487145292005233 29,25822067788414
0,2800000000000001 151,8653090819094 8,19951235346241 -1,6060230927575347 29,25512647369962
0,2900000000000001 151,84867582182827 8,492031571942583 -1,6633260081136236 29,2519218480172
0,3000000000000001 151,8314695911319 8,784517640045628 -1,7206230696367684 29,24860681030455
